Type of Service,Instrument ID,Description,Manufacturer,Model No.,Serial No.,Procedure No.,As Left,Order No.,Calibration Location,Date Received,Calibration Date,Calibration Due,Relative Humidity (%RH),Ambient Temperature (ᵒC),UniqueID
Calibration,1.11E+13,Digital DC Power Supply,MCP,M10-SP3005L,1.11E+13,CM-11-14,Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,04/11/2020,03/11/2021,65,23.7,ENB204DPSML111E13
Calibration,16080002,Digital DC Power Supply,MCP,M10-QS303,16080002,CM-11-14,Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,04/11/2020,03/11/2021,61,23.1,ENB204DDPML160802
Calibration,16080001,Digital DC Power Supply,MCP,M10-QS303,16080001,CM-11-14,Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,04/11/2020,03/11/2021,62,23.5,ENB201DDPM160801
Calibration,1.01E+12,Digital Power Supply,ATTEN,PVR-3003,1010 073913884,CM-11-14,Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,04/11/2020,03/11/2021,60,23.1,ENB204DPSA101004
Calibration,16080003,Digital DC Power Supply,MCP,M10-QS303,16080003,CM-11-14,Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,04/11/2020,03/11/2021,61,23,ENB204DDPML160801
Calibration,DMM-03,Digital Multimeter,PROMAX,FP-2B,62900640503,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,27/10/2020,26/10/2021,58,20.7,ENB205DMP629003
Calibration,DMM-01,Digital Multimeter,PROMAX,FP-2B,62900640510,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,27/10/2020,26/10/2021,63,22.9,ENB205DMP629001
Calibration,DMM-05,Digital Multimeter,PROMAX,FP-2B,62900640507,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,27/10/2020,26/10/2021,63,24,ENB205DMP629005
Calibration,DMM-06,Digital Multimeter,ALEXAN,AC650,M0009856,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,26/10/2020,25/10/2021,69,23.8,ENB205DMAM00093
Calibration,DMM-05,Digital Multimeter,ALEXAN,AC650,M0009855,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,26/10/2020,25/10/2021,69,23.8,ENB205DMAM00092
Calibration,DMM-01,Digital Multimeter,ALEXAN,AC650,M0009851,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,24/10/2020,23/10/2021,69,23.8,ENB205DMAM00091
Calibration,DMM-08,Digital Multimeter,ALEXAN,AC650,M0009858,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,24/10/2020,23/10/2021,60,23.1,ENB205DMAM00095
Calibration,DMM-07,Digital Multimeter,ALEXAN,AC650,M0009857,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,24/10/2020,23/10/2021,59,23.1,ENB205DMAM00094
Calibration,DMM-10,Digital Multimeter,ALEXAN,AC650,M0009860,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,24/10/2020,23/10/2021,63,23.1,ENB205DMAM00097
Calibration,DMM-06,Digital Multimeter,PROMAX,FP-2B,62900640502,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/10/2020,24/10/2020,23/10/2021,64,23.4,ENB205DMP629002
Calibration,1.11E+13,Digital DC Power Supply,MCP,M10-SP3005L,1.11E+13,CM-11-14,Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,04/12/2021,03/12/2022,65,23.7,ENB204DPSML111E13
Calibration,16080002,Digital DC Power Supply,MCP,M10-QS303,16080002,CM-11-14,Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,04/12/2021,03/12/2022,61,23.1,ENB204DDPML160802
Calibration,16080001,Digital DC Power Supply,MCP,M10-QS303,16080001,CM-11-14,Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,04/12/2021,03/12/2022,62,23.5,ENB201DDPM160801
Calibration,1010 073913884,Digital Power Supply,ATTEN,PVR-3003,1010 073913884,CM-11-14,Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,04/12/2021,03/12/2022,60,23.1,ENB204DPSA101004
Calibration,16080003,Digital DC Power Supply,MCP,M10-QS303,16080003,CM-11-14,Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,04/12/2021,03/12/2022,61,23,ENB204DDPML160801
Calibration,DMM-03,Digital Multimeter,PROMAX,FP-2B,62900640503,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,27/11/2021,26/11/2022,58,20.7,ENB205DMP629003
Calibration,DMM-01,Digital Multimeter,PROMAX,FP-2B,62900640510,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,27/11/2021,26/11/2022,63,22.9,ENB205DMP629001
Calibration,DMM-05,Digital Multimeter,PROMAX,FP-2B,62900640507,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,27/11/2021,26/11/2022,63,24,ENB205DMP629005
Calibration,DMM-06,Digital Multimeter,ALEXAN,AC650,M0009856,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,26/11/2021,25/11/2022,69,23.8,ENB205DMAM00093
Calibration,DMM-05,Digital Multimeter,ALEXAN,AC650,M0009855,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,26/11/2021,25/11/2022,69,23.8,ENB205DMAM00092
Calibration,DMM-01,Digital Multimeter,ALEXAN,AC650,M0009851,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,24/11/2021,23/11/2022,69,23.8,ENB205DMAM00091
Calibration,DMM-08,Digital Multimeter,ALEXAN,AC650,M0009858,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,25/11/2021,23/11/2022,60,23.1,ENB205DMAM00095
Calibration,DMM-07,Digital Multimeter,ALEXAN,AC650,M0009857,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,26/11/2021,23/11/2022,59,23.1,ENB205DMAM00094
Calibration,DMM-10,Digital Multimeter,ALEXAN,AC650,M0009860,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,27/11/2021,23/11/2022,63,23.1,ENB205DMAM00097
Calibration,DMM-06,Digital Multimeter,PROMAX,FP-2B,62900640502,CM-11-01,UUC was Left As Found,STF-2020-11-0120,ICS Laboratory,22/11/2021,28/11/2021,23/11/2022,64,23.4,ENB205DMP629002
